brunch;1;2;3;4;5;6;7;8;9;10
"(3,4,""inFor"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
starttime;16:00:59;16:01:03;16:01:07;16:01:10;16:01:13;16:01:16;16:01:20;16:01:23;16:01:26;16:01:29
endtime;16:01:00;16:01:04;16:01:07;16:01:11;16:01:14;16:01:17;16:01:20;16:01:24;16:01:27;16:01:30
difftime;1;1;0;1;1;1;0;1;1;1
"(7,8,""then"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;2;1;2;1;1;1;1;1;1;1
starttime;16:01:00;16:01:04;16:01:07;16:01:11;16:01:14;16:01:17;16:01:20;16:01:24;16:01:27;16:01:30
endtime;16:01:02;16:01:06;16:01:10;16:01:13;16:01:16;16:01:19;16:01:22;16:01:25;16:01:28;16:01:31
difftime;2;2;3;2;2;2;2;1;1;1
"(7,11,""else"")";(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0);(0.0,0.0,0)
generations#;0;0;0;0;0;0;0;0;0;0
starttime;16:01:02;16:01:06;16:01:10;16:01:13;16:01:16;16:01:19;16:01:22;16:01:25;16:01:28;16:01:31
endtime;16:01:03;16:01:06;16:01:10;16:01:13;16:01:16;16:01:20;16:01:23;16:01:26;16:01:29;16:01:32
difftime;1;0;0;0;0;1;1;1;1;1
