,brunch,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,mean
0,"(3,4,""inFor"")","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)",
1,generations#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,starttime,16:00:59,16:01:03,16:01:07,16:01:10,16:01:13,16:01:16,16:01:20,16:01:23,16:01:26,16:01:29,12:15:13,12:15:16,12:15:20,12:15:23,12:15:27,12:15:30,12:15:33,12:15:36,12:15:40,12:15:43,
3,endtime,16:01:00,16:01:04,16:01:07,16:01:11,16:01:14,16:01:17,16:01:20,16:01:24,16:01:27,16:01:30,12:15:14,12:15:17,12:15:20,12:15:24,12:15:28,12:15:31,12:15:34,12:15:37,12:15:41,12:15:44,
4,difftime,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,
5,"(7,8,""then"")","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)",
6,generations#,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,
7,starttime,16:01:00,16:01:04,16:01:07,16:01:11,16:01:14,16:01:17,16:01:20,16:01:24,16:01:27,16:01:30,12:15:14,12:15:17,12:15:20,12:15:24,12:15:28,12:15:31,12:15:34,12:15:37,12:15:41,12:15:44,
8,endtime,16:01:02,16:01:06,16:01:10,16:01:13,16:01:16,16:01:19,16:01:22,16:01:25,16:01:28,16:01:31,12:15:15,12:15:19,12:15:22,12:15:26,12:15:29,12:15:32,12:15:35,12:15:39,12:15:42,12:15:45,
9,difftime,2,2,3,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,1,1,
10,"(7,11,""else"")","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)","(0.0,0.0,0)",
11,generations#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,starttime,16:01:02,16:01:06,16:01:10,16:01:13,16:01:16,16:01:19,16:01:22,16:01:25,16:01:28,16:01:31,12:15:15,12:15:19,12:15:22,12:15:26,12:15:29,12:15:32,12:15:35,12:15:39,12:15:42,12:15:45,
13,endtime,16:01:03,16:01:06,16:01:10,16:01:13,16:01:16,16:01:20,16:01:23,16:01:26,16:01:29,16:01:32,12:15:16,12:15:20,12:15:23,12:15:27,12:15:30,12:15:33,12:15:36,12:15:40,12:15:43,12:15:46,
14,difftime,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
